time,flux_norm,flux_err_norm,sg_trend
1628.0656556107,1.0000869201,0.0009673981,0.9999753093
1628.0670445239,1.0018215432,0.0009685667,0.9999753436
1628.0684334372,1.0008906997,0.0009673699,0.9999753779
1628.0698223504,1.0013706138,0.0009674091,0.9999754121
1628.0712112636,0.9990727042,0.0009667656,0.9999754463
1628.0726001770,1.0002767731,0.0009671130,0.9999754805
1628.0739890902,1.0003733009,0.0009673925,0.9999755147
1628.0753780034,1.0000044241,0.0009669409,0.9999755488
1628.0767669167,0.9985019585,0.0009661691,0.9999755829
1628.0781558299,1.0015803414,0.0009671008,0.9999756169
1628.0795447431,0.9994458128,0.0009668686,0.9999756510
1628.0809336563,1.0015840881,0.0009670458,0.9999756849
1628.0823225695,0.9991125468,0.0009661791,0.9999757189
1628.0837114827,1.0006720469,0.0009669146,0.9999757528
1628.0851003959,1.0016186769,0.0009662270,0.9999757867
1628.0864893091,0.9986045417,0.0009660504,0.9999758205
1628.0878782223,1.0002370592,0.0009657462,0.9999758543
1628.0892671356,1.0000715589,0.0009659498,0.9999758881
1628.0906560488,0.9998900842,0.0009654889,0.9999759219
1628.0920449620,1.0007988049,0.0009655133,0.9999759556
1628.0934338754,0.9995234394,0.0009652572,0.9999759893
1628.0948227886,0.9995328236,0.0009658995,0.9999760229
1628.0962117018,0.9997209664,0.0009657968,0.9999760565
1628.0976006151,0.9982166542,0.0009647164,0.9999760901
1628.0989895283,0.9992337984,0.0009650532,0.9999761236
1628.1003784415,1.0006095327,0.0009653694,0.9999761572
1628.1017673547,1.0016917070,0.0009661700,0.9999761906
1628.1031562679,1.0000521490,0.0009653492,0.9999762241
1628.1045451811,0.9995758035,0.0009648769,0.9999762575
1628.1059340943,0.9984725215,0.0009643868,0.9999762909
1628.1073230075,0.9992822365,0.0009650012,0.9999763242
1628.1212121396,0.9997330635,0.0009636753,0.9999763575
1628.1226010529,1.0003281967,0.0009638164,0.9999763908
1628.1281567057,1.0000748377,0.0009633947,0.9999764240
1628.1309345321,0.9994363045,0.0009624189,0.9999764572
1628.1364901850,1.0004363417,0.0009622127,0.9999764904
1628.1448236642,0.9992421609,0.0009620797,0.9999765235
1628.1462125774,0.9996901865,0.0009620174,0.9999765566
1628.1503793168,1.0021211861,0.0009615742,0.9999765897
1628.1545460565,1.0000249276,0.0009615191,0.9999766227
1628.1559349697,0.9990149298,0.0009611291,0.9999766557
1628.1573238829,1.0009463710,0.0009614503,0.9999766887
1628.1601017093,0.9992966217,0.0009604164,0.9999767217
1628.1614906225,0.9999954100,0.0009612115,0.9999767546
1628.1642684490,1.0007154776,0.0009613664,0.9999767874
1628.1670462751,0.9991728406,0.0009599957,0.9999768203
1628.1684351884,1.0014067227,0.0009612230,0.9999768531
1628.1698241016,1.0004622919,0.0009601652,0.9999768858
1628.1739908412,0.9980706269,0.0009592769,0.9999769186
1628.1753797544,0.9986569388,0.0009593663,0.9999769513
