tic_id,period_d,depth,duration_d,t0_btjd,bls_power,snr,n_cadences,time_span_d,status
TIC_290492819,1.815697,0.00013866,0.327,1629.069769,45.043123,45.043,50659,431.708,ok
TIC_419666736,0.61106,0.0048341,0.0475,1628.300821,2663.546874,2663.547,98407,2253.074,ok
TIC_468184895,0.571809,0.00665134,0.0345,1628.422476,5886.793005,5886.793,113658,2253.075,ok
TIC_2054445521,1.66154,5.922e-05,0.327,1628.333625,13.936786,13.937,82501,1523.545,ok
TIC_257325189,1.014227,0.00032044,0.018,1629.009668,5.173572,5.174,15105,24.828,ok
TIC_257342510,5.366735,0.00193984,0.005,2037.580612,5.439947,5.44,34274,353.439,ok
TIC_257387983,0.517914,0.00022936,0.0905,1628.245904,33.797606,33.798,65282,1523.545,ok
TIC_257726702,1.66154,5.922e-05,0.327,1628.333625,13.936786,13.937,82501,1523.545,ok
TIC_257738202,3.377505,0.00035124,0.0345,1628.614418,5.157938,5.158,33929,54.013,ok
TIC_257738254,10.427696,0.0005176,0.327,2043.16248,30.268845,30.269,85461,1115.208,ok
TIC_257772053,1.244371,0.00200652,0.327,2036.49794,259.579237,259.579,34845,353.439,ok
TIC_267168728,1.657004,0.00029355,0.018,1629.495804,5.497347,5.497,34259,54.178,ok
TIC_267194964,4.049832,0.00023183,0.327,1628.975539,56.875974,56.876,70011,761.654,ok
TIC_270278652,14.541819,0.00038296,0.237,1639.112553,8.158179,8.158,49433,1523.426,ok
TIC_270278779,3.327699,0.00010834,0.237,1631.008623,5.56253,5.563,34505,54.293,ok
TIC_274151135,12.645481,0.00053888,0.327,2046.775467,21.759849,21.76,115557,1844.808,ok
TIC_274226393,14.683995,0.00018041,0.327,2050.247954,10.569928,10.57,50037,1115.21,ok
TIC_274226401,14.594595,0.0011934,0.327,1639.520653,18.973315,18.973,33884,53.982,ok
TIC_274228124,14.596849,0.00047548,0.172,1639.420586,8.749348,8.749,34522,54.293,ok
TIC_279799236,1.321447,0.0004954,0.0095,1629.288697,5.425587,5.426,33965,54.035,ok
TIC_302994978,14.594595,0.00504162,0.327,1638.83507,53.930091,53.93,33869,53.968,ok
TIC_317154919,2.040535,0.00024163,0.327,1629.098101,45.974492,45.974,70013,761.654,ok
TIC_317328068,1.562704,0.00017009,0.327,1628.664183,6.251078,6.251,15101,24.828,ok
TIC_317351809,5.729094,0.00051611,0.172,1631.499108,6.456029,6.456,14609,24.628,ok
TIC_318237210,1.529483,0.0005017,0.007,1654.619033,6.404152,6.404,19432,28.436,ok
TIC_318273916,7.004441,0.00030874,0.327,2040.444159,6.198745,6.199,34373,353.439,ok
TIC_318273949,1.496819,8.746e-05,0.327,1628.325272,5.684583,5.685,15102,24.828,ok
TIC_318612552,13.995113,0.01303019,0.327,2048.204033,41.2641,41.264,49459,1086.28,ok
TIC_318612553,1.449536,0.00010754,0.237,1629.382577,6.902742,6.903,83643,1494.336,ok
TIC_318614521,14.1502,0.00099209,0.237,1639.534229,19.797507,19.798,66471,1523.545,ok
TIC_321154297,1.374,7.027e-05,0.327,2036.892581,6.482752,6.483,34453,353.439,ok
TIC_325561359,1.863293,0.0017968,0.025,2362.386199,4.970676,4.971,19335,27.946,ok
TIC_327853078,1.363446,2.94e-05,0.327,1629.150631,7.392379,7.392,85255,2253.078,ok
TIC_327856665,1.811971,0.00047486,0.025,1654.031396,5.04241,5.042,19377,28.436,ok
TIC_346745925,1.678829,0.00426533,0.327,1628.79178,235.849514,235.85,15101,24.828,ok
TIC_369366139,10.532828,0.0002684,0.237,1635.975379,6.34116,6.341,30038,431.45,ok
TIC_388242391,0.621964,0.00012007,0.0345,1628.274406,5.625216,5.625,34534,54.293,ok
TIC_388242409,2.448526,0.0004018,0.025,2038.701973,5.596335,5.596,34316,353.439,ok
TIC_394758096,0.682442,0.00044424,0.0095,1628.768578,5.632922,5.633,33919,54.003,ok
TIC_401796943,3.564639,7.128e-05,0.1245,1628.350934,7.166496,7.166,69984,761.654,ok
TIC_401819729,0.522466,0.00507393,0.327,2036.63307,638.341408,638.341,34964,353.439,ok
TIC_401821603,5.356451,0.00145368,0.327,1632.503133,26.661796,26.662,14631,24.634,ok
TIC_405459430,1.961911,0.00059337,0.0475,1653.947611,4.902596,4.903,19375,28.436,ok
TIC_405465759,1.311189,0.0001116,0.172,1628.949696,5.780727,5.781,34532,54.293,ok
TIC_405467230,1.427821,4.381e-05,0.327,1629.012152,8.717795,8.718,84551,1523.426,ok
TIC_405476976,5.645161,0.00091537,0.005,1631.063657,5.5586,5.559,34534,54.293,ok
TIC_405478524,1.462089,8.562e-05,0.327,2036.829994,7.54197,7.542,34278,353.439,ok
TIC_410305216,13.172269,0.00267824,0.327,1639.52898,54.923607,54.924,33964,54.035,ok
TIC_410306905,4.883721,9.571e-05,0.327,1629.721123,8.297675,8.298,34516,54.293,ok
TIC_410339800,10.376556,0.00247102,0.007,2037.920473,5.251311,5.251,34239,353.439,ok
TIC_410390728,10.587549,8.037e-05,0.172,1633.493637,7.410153,7.41,119749,2253.078,ok
TIC_415972720,14.596849,0.00133113,0.327,1639.490695,29.267308,29.267,34543,54.293,ok
