TIC_ID,period,depth,duration,t0,SNR,CNN_score,is_candidate,status,TIC,ra,dec,Tmag,e_Tmag,Teff,Teff_source,Teff_imputed,logg,rad,mass,rho,lum,d,ebv,contratio,priority,SpType_est,Tmag_tier,bp_rp,j_k,total_pm,wdflag,lumclass,objType,GAIA,TWOMASS,ALLWISE,predicted_class,confidence,failed_heuristics,prob_planet,prob_eclipsing_binary,prob_planet_candidate,prob_false_positive,prob_noise
TIC_468184895,0.571809,0.00665134,0.0345,1628.422476,65.918,0.4544,0,ok,468184895,317.195180931356,-88.956503248696,5.1773,0.0066,7260.0,catalog,False,3.42791,4.08483,1.63,0.0239147,41.7627754,89.9499,0.0,0.0008927956,0.00151780562,F,<10,0.4026700000000005,0.0599999999999996,27.25469959412688,0,DWARF,STAR,6.341181494973204e+18,21084697-8857236,J210847.95-885723.6,eclipsing_binary,0.8228,radius_outlier,0.0135,0.8228,0.1546,0.0,0.0091
TIC_419666736,0.61106,0.0048341,0.0475,1628.300821,76.519,0.9833,1,ok,419666736,341.375922232319,-88.8182944836866,6.2779,0.0061,7446.0,catalog,False,3.76613,2.83443,1.71,0.0750933,22.2493229,103.358,0.0398866,0.0140985493,0.00246133073,F,<10,0.4109700000000007,0.1420000000000003,42.17695389724109,0,DWARF,STAR,6.341236711072311e+18,22453081-8849059,J224531.67-884906.2,eclipsing_binary,0.9446,,0.0013,0.9446,0.0531,0.0,0.001
TIC_290492819,1.815697,0.00013866,0.327,1629.069769,35.153,0.2439,0,ok,290492819,241.476207148048,-89.3085475823068,7.4418,0.006,6742.0,catalog,False,4.3106,1.38968,1.44,0.536565,3.59481382,77.8277,0.0,0.00199108,0.005992393,F,<10,0.5362199999999993,0.1979999999999995,46.64735055155865,0,DWARF,STAR,5.76466288087049e+18,16055375-8918306,J160552.72-891831.2,planet_candidate,0.8923,,0.0833,0.021,0.8923,0.0,0.0035
TIC_468155076,1.034395,0.00573178,0.0475,1654.456281,71.534,1.0,1,ok,468155076,309.385535650918,-88.110725593802,8.6067,0.0061,8064.0,catalog,False,3.59689,3.68736,1.96,0.0390941,51.799675,414.481,0.0891965,0.003124245,0.000960027566,A,<10,0.3434799999999995,0.1790000000000002,4.552596628705425,0,DWARF,STAR,6.341515849586564e+18,20373265-8806383,J203732.64-880638.6,planet_candidate,0.6612,radius_outlier,0.0004,0.3273,0.6612,0.0,0.0111
TIC_401819729,0.522466,0.00507393,0.327,2036.63307,239.791,0.0011,0,ok,401819729,335.919825869006,-88.8952694818237,9.3905,0.006,6940.0,catalog,False,4.03078,1.97044,1.52,0.198678,8.114488,263.083,0.0761209,0.0133328326,0.00176307186,F,<10,0.5829399999999989,0.2100000000000008,9.682804903714626,0,DWARF,STAR,6.341231763269996e+18,22234093-8853429,J222340.98-885342.8,planet_candidate,0.8853,,0.0112,0.1033,0.8853,0.0,0.0001
TIC_257772053,1.244371,0.00200652,0.327,2036.49794,46.545,0.0032,0,ok,257772053,33.462890458861,-87.8636003087629,9.1284,0.006,6762.0,catalog,False,3.65492,2.96658,1.45,0.0555393,16.5770454,332.481,0.0921484,0.0060556205,0.00112451,F,<10,0.6509799999999988,0.1950000000000002,25.304830228652,0,DWARF,STAR,4.612197948466635e+18,02135122-8751490,J021351.63-875148.9,planet_candidate,0.955,,0.0017,0.0423,0.955,0.0,0.001
TIC_346745925,1.678829,0.00426533,0.327,1628.79178,77.677,0.0004,0,ok,346745925,287.053521605074,-88.8218089794363,9.7448,0.0061,6077.0,catalog,False,3.39475,3.54906,1.14,0.0255015,15.4766636,429.821,0.131785,0.0342827961,0.0005894531,F,<10,0.90095,0.3740000000000005,1.3703805029857072,0,DWARF,STAR,6.341376658287022e+18,19081282-8849184,J190812.90-884918.4,planet_candidate,0.786,radius_outlier,0.0009,0.1881,0.786,0.0,0.025
TIC_267194964,4.049832,0.00023183,0.327,1628.975539,37.721,0.2329,0,ok,267194964,52.4149445276753,-88.2465874672294,7.6539,0.006,5718.0,catalog,False,4.1754,1.36658,1.02,0.399663,1.79863,64.6072,0.0,0.0029439982,0.006110144,G,<10,0.8477899999999998,0.3850000000000007,114.53842804203312,0,DWARF,STAR,4.612119260368658e+18,03293970-8814478,J032941.54-881446.8,planet_candidate,0.7547,,0.1925,0.0316,0.7547,0.0,0.0212
TIC_410305216,13.172269,0.00267824,0.327,1639.52898,49.312,0.2575,0,ok,410305216,7.81626887427873,-88.9216694116305,10.5008,0.006,6009.0,catalog,False,4.55977,0.915821,1.11,1.44508,0.985200047,166.104,0.0535333,0.0224644672,0.00294675352,F,10-12,0.8192000000000004,0.354000000000001,21.36631508997927,0,DWARF,STAR,4.611988663300577e+18,00311591-8855180,J003115.41-885517.9,planet_candidate,0.9201,,0.0619,0.0154,0.9201,0.0,0.0026
TIC_302994978,14.594595,0.00504162,0.327,1638.83507,48.531,0.9542,1,ok,302994978,40.4753931731804,-88.4341230651577,10.6926,0.006,5707.0,catalog,False,4.57469,0.86296,1.02,1.58719,0.7117166,155.999,0.0553892,0.0390981957,0.002893409,G,10-12,0.9147999999999996,0.4329999999999998,23.19725182964784,0,DWARF,STAR,4.612019002949329e+18,02415412-8826028,J024153.65-882602.9,planet_candidate,0.9376,,0.0576,0.0041,0.9376,0.0,0.0008
